City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Kyabram,AU,57.87,overcast clouds,-36.3167,145.05,Kyabram Motor Inn
600,Dauphin,CA,66.34,clear sky,51.1494,-100.0502,Canway Inn & Suites
601,Ciudad Bolivar,VE,75.52,overcast clouds,8.1222,-63.5497,Hotel Edi
602,Pemberton,CA,76.86,scattered clouds,50.3164,-122.8027,Pemberton Valley Lodge
603,Mwense,ZM,52.59,broken clouds,-10.3845,28.698,Mwense Council Guest House
606,Nome,US,51.87,light rain,64.5011,-165.4064,Dredge 7 Inn
607,Marquette,US,71.04,clear sky,46.5333,-87.6335,Al Quaal Lodge
612,Guerrero Negro,MX,70.02,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
613,Eureka,US,55.92,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
614,Abha,SA,64.22,clear sky,18.2164,42.5053,Abha Hotel
615,Lac Du Bonnet,CA,74.59,few clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
619,Alta Floresta,BR,72.7,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
620,Brigantine,US,78.49,broken clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
621,Krasnoslobodsk,RU,72.55,clear sky,48.7072,44.5714,Mini-hotel Na Allee
622,Oistins,BB,77.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
624,Ornskoldsvik,SE,58.15,broken clouds,63.2909,18.7153,ファーストホテル スタット
625,Biltine,TD,76.59,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
626,Zhangjiakou,CN,75.74,light rain,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
630,Huarmey,PE,64.92,clear sky,-10.0681,-78.1522,Hotel Miramar
631,Povenets,RU,58.32,overcast clouds,62.8487,34.8262,Eko Otel' Bol'shaya Medveditsa
632,Kolo,PL,69.24,clear sky,52.2002,18.6387,Noclegi w Kole
633,Porto Novo,BJ,74.19,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
636,Sao Gabriel Da Cachoeira,BR,71.83,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
642,Bomet,KE,50.61,scattered clouds,-0.7813,35.3416,Mosop Annex club
643,Hobyo,SO,75.56,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
644,Vlore,AL,76.66,clear sky,40.4667,19.4897,Bologna Hotel
645,Taree,AU,69.06,clear sky,-31.9,152.4667,All Seasons Country Lodge Taree
649,Tual,ID,79.84,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
650,Stromness,GB,57.45,scattered clouds,58.965,-3.296,The Old Smokery
654,Xichang,CN,73.08,scattered clouds,27.8964,102.2634,Xichang ibis Hotel
655,Nanton,CA,79.09,broken clouds,50.3501,-113.7687,Changing Seasons Bed and Breakfast
656,Praia,CV,74.86,overcast clouds,14.9215,-23.5087,LT Aparthotel
658,Fecamp,FR,63.48,overcast clouds,49.7579,0.3746,Hôtel d'Angleterre
659,Hun,LY,76.48,clear sky,29.1268,15.9477,Alrwasi Hotel
660,Toktogul,KG,79.74,clear sky,41.8708,72.9402,KAGAN
661,Valley City,US,79.79,clear sky,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
663,Buritis,BR,63.84,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
664,Asosa,ET,59.2,light rain,10.0667,34.5333,Blendana Hotel Assosa
665,Kosh-Agach,RU,63.73,clear sky,50.0,88.6667,Fermerskiy Dom v Kosh-Agache
666,San Giovanni In Fiore,IT,64.87,clear sky,39.2633,16.6996,Casa Federico B&B
668,Somerset West,ZA,57.58,overcast clouds,-34.084,18.8211,Lourens River Guesthouse
669,Yar-Sale,RU,51.69,overcast clouds,66.8333,70.8333,Yalemd
671,Sale,MA,72.28,broken clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
